stop_id,stop_name,fullName,stop_id,municipality,district_code,mainTrafficType,idosCategory,lat,lon,avgJtskX,avgJtskY,numStops
"Bakov n.Jiz.,Pražská","Bakov n.Jiz.,Pražská","Bakov nad Jizerou,Pražská","Bakov n.Jiz.,Pražská",Bakov n.Jiz.,MB,bus,301003,50.4727325,14.943881,-700197.4,-1005490.0,2
"Bakov n.Jiz.,Trenčín","Bakov n.Jiz.,Trenčín","Bakov nad Jizerou,Trenčín","Bakov n.Jiz.,Trenčín",Bakov n.Jiz.,MB,bus,301003,50.4711456,14.94211,-700344.9,-1005648.38,2
"Bakov n.Jiz.,Velký Rečkov","Bakov n.Jiz.,Velký Rečkov","Bakov nad Jizerou,Velký Rečkov","Bakov n.Jiz.,Velký Rečkov",Bakov n.Jiz.,MB,bus,301003,50.4930573,14.9087477,-702376.9,-1002925.0,2
"Bakov n.Jiz.,Zájezdy","Bakov n.Jiz.,Zájezdy","Bakov nad Jizerou,Zájezdy","Bakov n.Jiz.,Zájezdy",Bakov n.Jiz.,MB,bus,301003,50.47465,14.9779358,-697772.6,-1005590.38,2
"Bakov n.Jiz.,Zvířetice","Bakov n.Jiz.,Zvířetice","Bakov nad Jizerou,Zvířetice","Bakov n.Jiz.,Zvířetice",Bakov n.Jiz.,MB,bus,301003,50.4743652,14.9098539,-702568.938,-1004996.63,1
"Bakov n.Jiz.,žel.zast.","Bakov n.Jiz.,žel.zast.","Bakov nad Jizerou,železniční zastávka","Bakov n.Jiz.,žel.zast.",Bakov n.Jiz.,MB,bus,301003,50.47957,14.9397173,-700392.063,-1004697.5,3
Bakov n.Jizerou,Bakov nad Jizerou,Bakov nad Jizerou,Bakov n.Jizerou,Bakov n.Jiz.,MB,train,600003,50.47211,14.9227324,-701695.0,-1005364.06,1
Bakov n.Jizerou m.,Bakov nad Jizerou město,Bakov nad Jizerou město,Bakov n.Jizerou m.,Bakov n.Jiz.,MB,train,600003,50.47901,14.9392395,-700433.6,-1004754.56,1
Bakovská,Bakovská,Bakovská,Bakovská,Praha,AB,bus,301003,50.1347542,14.5493822,-733017.4,-1039043.38,4
Balabenka,Balabenka,Balabenka,Balabenka,Praha,AB,tram,301003,50.104023,14.4825878,-738211.9,-1041784.88,5
Balkán,Balkán,Balkán,Balkán,Praha,AB,bus,301003,50.0948029,14.4962463,-737382.6,-1042933.13,2
Balkova Lhota,Balkova Lhota,Balkova Lhota,Balkova Lhota,Balkova Lhota,TA,bus,301003,49.451622,14.6064739,-739144.0,-1114882.0,2
"Balkova Lhota,Černý les","Balkova Lhota,Černý les","Balkova Lhota,Černý les","Balkova Lhota,Černý les",Balkova Lhota,TA,bus,301003,49.45346,14.5915976,-740185.5,-1114534.63,2
"Balkova Lhota,Knížata rozc.1.0","Balkova Lhota,Knížata rozc.1.0","Balkova Lhota,Knížata rozcestí 1.0","Balkova Lhota,Knížata rozc.1.0",Balkova Lhota,TA,bus,301003,49.455265,14.5885429,-740378.0,-1114306.38,2
"Balkova Lhota,Výrec","Balkova Lhota,Výrec","Balkova Lhota,Výrec","Balkova Lhota,Výrec",Balkova Lhota,TA,bus,301003,49.44558,14.6030025,-739483.4,-1115514.0,2
Baně,Baně,Baně,Baně,Praha,AB,bus,301003,49.95268,14.3791447,-747846.7,-1057451.0,2
Barchovice,Barchovice,Barchovice,Barchovice,Barchovice,KO,bus,301003,49.94286,14.9692717,-706016.75,-1064165.13,1
"Barchovice,Hryzely","Barchovice,Hryzely","Barchovice,Hryzely","Barchovice,Hryzely",Barchovice,KO,bus,301003,49.9356461,14.9826412,-705168.6,-1065084.5,2
"Barchovice,ObÚ","Barchovice,ObÚ","Barchovice,Obecní úřad","Barchovice,ObÚ",Barchovice,KO,bus,301003,49.9449844,14.968462,-706043.9,-1063923.5,2
"Barchovice,Radlice","Barchovice,Radlice","Barchovice,Radlice","Barchovice,Radlice",Barchovice,KO,bus,301003,49.9344368,14.9459133,-707800.438,-1064877.5,1
"Barchovice,Radlice,rozc.","Barchovice,Radlice,rozc.","Barchovice,Radlice,rozcestí","Barchovice,Radlice,rozc.",Barchovice,KO,bus,301003,49.94902,14.9535313,-707048.5,-1063339.88,2
Barrandovská,Barrandovská,Barrandovská,Barrandovská,Praha,AB,bus,301003,50.03153,14.3958941,-745457.6,-1048928.0,1
Bártlova,Bártlova,Bártlova,Bártlova,Praha,AB,bus,301003,50.1189346,14.6326208,-727355.438,-1041585.25,2
